,Date,Open,High,Low,Close,Adj Close,Volume,Company
0,Jan 11 2022,363.53,368.06,356.09,366.29,366.29,4131200,Mastercard
1,Jan 10 2022,370.91,370.91,348.77,363.91,363.91,6009300,Mastercard
2,Jan 07 2022,366.39,371.79,364.11,369.65,369.65,4550900,Mastercard
3,Jan 06 2022,368.69,374.22,366.50,370.00,370.00,4781100,Mastercard
4,Jan 05 2022,374.00,382.50,372.51,373.90,373.41,5976600,Mastercard
5,Jan 04 2022,371.99,382.40,371.65,375.39,374.90,6854500,Mastercard
6,Jan 03 2022,359.79,372.32,359.25,370.95,370.46,4708200,Mastercard
7,Dec 31 2021,357.95,363.38,356.78,359.32,358.85,1983600,Mastercard
8,Dec 30 2021,362.00,364.65,359.11,360.99,360.52,1558000,Mastercard
9,Dec 29 2021,361.78,363.15,360.19,361.29,360.82,1535200,Mastercard
10,Dec 28 2021,358.79,364.14,358.41,360.78,360.31,1920100,Mastercard
11,Dec 27 2021,360.00,361.08,355.60,360.31,359.84,2677100,Mastercard
12,Dec 23 2021,357.54,362.47,355.00,360.58,360.11,2627000,Mastercard
13,Dec 22 2021,346.58,358.62,346.58,357.48,357.01,3456400,Mastercard
14,Dec 21 2021,340.33,352.00,339.37,350.74,350.28,3105100,Mastercard
15,Dec 20 2021,341.24,343.53,336.23,337.02,336.58,5013900,Mastercard
16,Dec 17 2021,349.19,352.79,344.12,349.31,348.85,5898200,Mastercard
17,Dec 16 2021,351.70,353.77,345.12,352.92,352.46,5369900,Mastercard
18,Dec 15 2021,340.00,346.59,335.53,346.35,345.90,4918700,Mastercard
19,Dec 14 2021,345.32,348.21,337.86,340.55,340.10,4518500,Mastercard
20,Dec 13 2021,349.19,349.53,340.33,345.31,344.86,4358300,Mastercard
21,Dec 10 2021,347.00,350.25,344.83,349.92,349.46,3404300,Mastercard
22,Dec 09 2021,340.05,346.53,339.01,344.52,344.07,3389600,Mastercard
23,Dec 08 2021,339.23,344.03,334.10,342.34,341.89,4226900,Mastercard
24,Dec 07 2021,337.30,342.42,337.30,339.51,339.07,4939500,Mastercard
25,Dec 06 2021,324.75,336.76,322.00,333.33,332.89,6055000,Mastercard
26,Dec 03 2021,320.24,322.69,314.00,322.11,321.69,4731700,Mastercard
27,Dec 02 2021,309.59,322.20,308.99,320.20,319.78,6717600,Mastercard
28,Dec 01 2021,320.78,322.02,306.00,306.28,305.88,8008800,Mastercard
29,Nov 30 2021,318.00,320.76,310.11,314.92,314.51,10237600,Mastercard
30,Nov 29 2021,330.01,331.82,318.25,323.01,322.59,6362200,Mastercard
31,Nov 26 2021,321.58,326.87,319.00,324.17,323.75,6613900,Mastercard
32,Nov 24 2021,326.95,340.36,325.02,340.00,339.55,6414400,Mastercard
33,Nov 23 2021,324.96,329.69,321.69,329.00,328.57,7116200,Mastercard
34,Nov 22 2021,339.80,341.48,319.76,321.30,320.88,11378200,Mastercard
35,Nov 19 2021,346.00,346.65,339.13,339.72,339.27,6954800,Mastercard
36,Nov 18 2021,360.73,362.48,344.58,348.22,347.76,6533700,Mastercard
37,Nov 17 2021,359.58,368.00,351.22,359.17,358.70,11727300,Mastercard
38,Nov 16 2021,364.77,371.07,362.00,369.56,369.08,4969000,Mastercard
39,Nov 15 2021,365.14,371.13,360.66,361.36,360.89,4693200,Mastercard
40,Nov 12 2021,356.06,363.84,355.93,363.50,363.02,4722500,Mastercard
41,Nov 11 2021,358.38,359.64,352.57,354.34,353.88,4472200,Mastercard
42,Nov 10 2021,350.10,359.62,349.50,357.94,357.47,6337100,Mastercard
43,Nov 09 2021,350.00,350.20,339.65,344.65,344.20,4247800,Mastercard
44,Nov 08 2021,348.01,353.15,347.66,349.67,349.21,3862200,Mastercard
45,Nov 05 2021,342.44,350.16,341.00,348.79,348.33,7199500,Mastercard
