,Date,Open,High,Low,Close,Adj Close,Volume,Company
0,Jan 11 2022,536.99,543.91,530.07,540.84,540.84,3072000,Netflix
1,Jan 10 2022,538.49,543.69,526.32,539.85,539.85,4486100,Netflix
2,Jan 07 2022,549.46,553.43,538.22,541.06,541.06,3381700,Netflix
3,Jan 06 2022,554.34,563.36,542.01,553.29,553.29,5711800,Netflix
4,Jan 05 2022,592.00,592.84,566.88,567.52,567.52,4148700,Netflix
5,Jan 04 2022,599.91,600.41,581.60,591.15,591.15,4393100,Netflix
6,Jan 03 2022,605.61,609.99,590.56,597.37,597.37,3067500,Netflix
7,Dec 31 2021,610.01,614.08,602.05,602.44,602.44,1994100,Netflix
8,Dec 30 2021,612.99,620.61,611.24,612.09,612.09,1625100,Netflix
9,Dec 29 2021,610.71,613.98,604.68,610.54,610.54,1287200,Netflix
10,Dec 28 2021,614.95,618.41,609.69,610.71,610.71,1882800,Netflix
11,Dec 27 2021,615.00,615.00,609.25,613.12,613.12,2061500,Netflix
12,Dec 23 2021,616.40,616.88,607.57,614.09,614.09,1621100,Netflix
13,Dec 22 2021,603.36,614.82,602.63,614.24,614.24,2335700,Netflix
14,Dec 21 2021,597.54,607.82,593.86,604.92,604.92,2319400,Netflix
15,Dec 20 2021,586.43,602.88,584.26,593.74,593.74,3358400,Netflix
16,Dec 17 2021,591.61,593.25,581.74,586.73,586.73,4386900,Netflix
17,Dec 16 2021,597.09,602.83,588.00,591.06,591.06,3143200,Netflix
18,Dec 15 2021,598.18,605.69,584.51,605.04,605.04,2866200,Netflix
19,Dec 14 2021,598.71,602.29,588.13,597.99,597.99,2984500,Netflix
20,Dec 13 2021,612.00,612.64,599.52,604.56,604.56,2517900,Netflix
21,Dec 10 2021,616.78,617.74,605.88,611.66,611.66,2747900,Netflix
22,Dec 09 2021,627.58,630.24,610.44,611.00,611.00,2376300,Netflix
23,Dec 08 2021,630.00,632.46,623.20,628.08,628.08,2220300,Netflix
24,Dec 07 2021,619.83,628.89,611.40,625.58,625.58,3125200,Netflix
25,Dec 06 2021,606.01,617.29,601.00,612.69,612.69,3075700,Netflix
26,Dec 03 2021,622.75,625.50,594.00,602.13,602.13,4825200,Netflix
27,Dec 02 2021,617.10,625.36,612.88,616.47,616.47,3331100,Netflix
28,Dec 01 2021,649.48,654.52,617.07,617.77,617.77,3882800,Netflix
29,Nov 30 2021,668.20,675.38,640.01,641.90,641.90,5608900,Netflix
30,Nov 29 2021,663.20,667.99,658.29,663.84,663.84,2529400,Netflix
31,Nov 26 2021,675.00,676.41,660.67,665.64,665.64,2872500,Netflix
32,Nov 24 2021,658.01,661.44,651.10,658.29,658.29,1867300,Netflix
33,Nov 23 2021,658.18,666.43,646.05,654.06,654.06,2320200,Netflix
34,Nov 22 2021,676.02,679.48,656.47,659.20,659.20,2764400,Netflix
35,Nov 19 2021,692.35,694.16,675.00,678.80,678.80,2613700,Netflix
36,Nov 18 2021,691.61,691.74,679.74,682.02,682.02,2012900,Netflix
37,Nov 17 2021,690.00,700.99,686.09,691.69,691.69,2732800,Netflix
38,Nov 16 2021,678.27,688.36,676.90,687.40,687.40,2077400,Netflix
39,Nov 15 2021,681.24,685.26,671.49,679.33,679.33,2872200,Netflix
40,Nov 12 2021,660.01,683.34,653.82,682.61,682.61,4192700,Netflix
41,Nov 11 2021,650.24,665.82,649.71,657.58,657.58,2868300,Netflix
42,Nov 10 2021,653.01,660.33,642.11,646.91,646.91,2405800,Netflix
43,Nov 09 2021,653.70,660.50,650.52,655.99,655.99,2415600,Netflix
44,Nov 08 2021,650.29,656.00,643.79,651.45,651.45,2887500,Netflix
