,Date,Open,High,Low,Close,Adj Close,Volume,Company
0,Jan 11 2022,1053.67,1075.85,1038.82,1064.40,1064.40,21937100,Tesla
1,Jan 10 2022,1000.00,1059.10,980.00,1058.12,1058.12,30605000,Tesla
2,Jan 07 2022,1080.37,1080.93,1010.00,1026.96,1026.96,27919000,Tesla
3,Jan 06 2022,1077.00,1088.00,1020.50,1064.70,1064.70,30112200,Tesla
4,Jan 05 2022,1146.65,1170.34,1081.01,1088.12,1088.12,26706600,Tesla
5,Jan 04 2022,1189.55,1208.00,1123.05,1149.59,1149.59,33416100,Tesla
6,Jan 03 2022,1147.75,1201.07,1136.04,1199.78,1199.78,34643800,Tesla
7,Dec 31 2021,1073.44,1082.00,1054.59,1056.78,1056.78,13528700,Tesla
8,Dec 30 2021,1061.33,1095.55,1053.15,1070.34,1070.34,15680300,Tesla
9,Dec 29 2021,1098.64,1104.00,1064.14,1086.19,1086.19,18718000,Tesla
10,Dec 28 2021,1109.49,1119.00,1078.42,1088.47,1088.47,20108000,Tesla
11,Dec 27 2021,1073.67,1117.00,1070.72,1093.94,1093.94,23715300,Tesla
12,Dec 23 2021,1006.80,1072.98,997.56,1067.00,1067.00,30904400,Tesla
13,Dec 22 2021,965.66,1015.66,957.05,1008.87,1008.87,31211400,Tesla
14,Dec 21 2021,916.87,939.50,886.12,938.53,938.53,23839300,Tesla
15,Dec 20 2021,910.70,921.69,893.39,899.94,899.94,18826700,Tesla
16,Dec 17 2021,914.77,960.66,909.04,932.57,932.57,33479100,Tesla
17,Dec 16 2021,994.50,994.98,921.85,926.92,926.92,27590500,Tesla
18,Dec 15 2021,953.21,978.75,928.25,975.99,975.99,25056400,Tesla
19,Dec 14 2021,945.00,966.41,930.00,958.51,958.51,23602100,Tesla
20,Dec 13 2021,1001.09,1005.00,951.42,966.41,966.41,26198500,Tesla
21,Dec 10 2021,1008.75,1020.98,982.53,1017.03,1017.03,19855000,Tesla
22,Dec 09 2021,1060.64,1062.49,1002.36,1003.80,1003.80,19812800,Tesla
23,Dec 08 2021,1052.71,1072.38,1033.00,1068.96,1068.96,13968800,Tesla
24,Dec 07 2021,1044.20,1057.67,1026.81,1051.75,1051.75,18694900,Tesla
25,Dec 06 2021,1001.51,1021.64,950.50,1009.01,1009.01,27221000,Tesla
26,Dec 03 2021,1084.79,1090.58,1000.21,1014.97,1014.97,30696300,Tesla
27,Dec 02 2021,1099.06,1113.00,1056.65,1084.60,1084.60,24371600,Tesla
28,Dec 01 2021,1160.70,1172.84,1090.76,1095.00,1095.00,22816800,Tesla
29,Nov 30 2021,1144.37,1168.00,1118.00,1144.76,1144.76,27092000,Tesla
30,Nov 29 2021,1100.99,1142.67,1100.19,1136.99,1136.99,19464500,Tesla
31,Nov 26 2021,1099.47,1108.78,1081.00,1081.92,1081.92,11680900,Tesla
32,Nov 24 2021,1080.39,1132.77,1062.00,1116.00,1116.00,22560200,Tesla
33,Nov 23 2021,1167.51,1180.50,1062.70,1109.03,1109.03,36171700,Tesla
34,Nov 22 2021,1162.33,1201.95,1132.43,1156.87,1156.87,33072500,Tesla
35,Nov 19 2021,1098.87,1138.72,1092.70,1137.06,1137.06,21642300,Tesla
36,Nov 18 2021,1106.55,1112.00,1075.02,1096.38,1096.38,20898900,Tesla
37,Nov 17 2021,1063.51,1119.64,1055.50,1089.01,1089.01,31445400,Tesla
38,Nov 16 2021,1003.31,1057.20,1002.18,1054.73,1054.73,26542400,Tesla
39,Nov 15 2021,1017.63,1031.98,978.60,1013.39,1013.39,34775600,Tesla
40,Nov 12 2021,1047.50,1054.50,1019.20,1033.42,1033.42,25182300,Tesla
41,Nov 11 2021,1102.77,1104.97,1054.68,1063.51,1063.51,22396600,Tesla
42,Nov 10 2021,1010.41,1078.10,987.31,1067.95,1067.95,42802700,Tesla
43,Nov 09 2021,1173.60,1174.50,1011.52,1023.50,1023.50,59105800,Tesla
44,Nov 08 2021,1149.79,1197.00,1133.00,1162.94,1162.94,33445700,Tesla
45,Nov 05 2021,1228.00,1239.87,1208.00,1222.09,1222.09,21579900,Tesla
46,Nov 04 2021,1234.41,1243.49,1217.00,1229.91,1229.91,25397400,Tesla
47,Nov 03 2021,1177.33,1215.39,1152.62,1213.86,1213.86,34628500,Tesla
48,Nov 02 2021,1159.36,1208.59,1146.00,1172.00,1172.00,42737800,Tesla
49,Nov 01 2021,1145.00,1209.75,1118.66,1208.59,1208.59,56048700,Tesla
50,Oct 29 2021,1081.86,1115.21,1073.21,1114.00,1114.00,29918400,Tesla
51,Oct 28 2021,1068.31,1081.00,1054.20,1077.04,1077.04,27213200,Tesla
52,Oct 27 2021,1039.66,1070.88,1030.78,1037.86,1037.86,38526500,Tesla
53,Oct 26 2021,1024.69,1094.94,1001.44,1018.43,1018.43,62415000,Tesla
54,Oct 25 2021,950.53,1045.02,944.20,1024.86,1024.86,62852100,Tesla
55,Oct 22 2021,895.50,910.00,890.96,909.68,909.68,22880800,Tesla
56,Oct 21 2021,856.00,900.00,855.50,894.00,894.00,31481500,Tesla
57,Oct 20 2021,865.35,869.49,857.38,865.80,865.80,14032100,Tesla
58,Oct 19 2021,877.53,877.95,862.51,864.27,864.27,17381100,Tesla
59,Oct 18 2021,851.79,875.26,851.47,870.11,870.11,24207200,Tesla
60,Oct 15 2021,823.74,843.21,822.35,843.03,843.03,18818000,Tesla
61,Oct 14 2021,815.49,820.25,813.35,818.32,818.32,12247200,Tesla
62,Oct 13 2021,810.47,815.41,805.78,811.08,811.08,14120100,Tesla
63,Oct 12 2021,800.93,812.32,796.57,805.72,805.72,22020000,Tesla
64,Oct 11 2021,787.65,801.24,785.50,791.94,791.94,14200300,Tesla
65,Oct 08 2021,796.21,796.38,780.91,785.49,785.49,16711100,Tesla
66,Oct 07 2021,785.46,805.00,783.38,793.61,793.61,19195800,Tesla
67,Oct 06 2021,776.20,786.66,773.22,782.75,782.75,14632800,Tesla
68,Oct 05 2021,784.80,797.31,774.20,780.59,780.59,18432600,Tesla
69,Oct 04 2021,796.50,806.97,776.12,781.53,781.53,30483300,Tesla
70,Oct 01 2021,778.40,780.78,763.59,775.22,775.22,17031400,Tesla
71,Sep 30 2021,781.00,789.13,775.00,775.48,775.48,17956000,Tesla
72,Sep 29 2021,779.80,793.50,770.68,781.31,781.31,20942900,Tesla
73,Sep 28 2021,787.20,795.64,766.18,777.56,777.56,25381400,Tesla
74,Sep 27 2021,773.12,799.00,769.31,791.36,791.36,28070700,Tesla
75,Sep 24 2021,745.89,774.80,744.56,774.39,774.39,21373000,Tesla
76,Sep 23 2021,755.00,758.20,747.92,753.64,753.64,11947500,Tesla
77,Sep 22 2021,743.53,753.67,739.12,751.94,751.94,15126300,Tesla
78,Sep 21 2021,734.79,744.74,730.44,739.38,739.38,16330700,Tesla
